"URN","SCHNAME","TOWN","Postcode","ATT8SCR","NUMBOYS","NUMGIRLS","P8MEA","shortPostcode","District","County"
141307,"Ryburn Valley High School","Sowerby Bridge","HX61DF",48.7,"828","817",0.21,"HX61","CALDERDALE","WEST YORKSHIRE"
107564,"Todmorden High School","Todmorden","OL147DG",45.1,"439","436",0.08,"OL14","CALDERDALE","WEST YORKSHIRE"
144946,"Trinity Academy Grammar","Sowerby Bridge","HX62NW",44.5,"488","496",0.38,"HX62","CALDERDALE","WEST YORKSHIRE"
136094,"Trinity Academy Halifax","Halifax","HX29TZ",43.5,"825","792",0,"HX29","CALDERDALE","WEST YORKSHIRE"
107782,"All Saints Catholic College","Huddersfield","HD22JT",45.9,"446","454",0.11,"HD22","KIRKLEES","WEST YORKSHIRE"
137487,"Batley Grammar School","Batley","WF170AD",45.1,"571","435",-0.22,"WF17","KIRKLEES","WEST YORKSHIRE"
138111,"BBG Academy","Birkenshaw","BD194BE",52.1,"543","492",0.48,"BD19","KIRKLEES","WEST YORKSHIRE"
146367,"Castle Hall Academy","Mirfield","WF149PH",41.8,"444","338",0.15,"WF14","KIRKLEES","WEST YORKSHIRE"
140660,"Colne Valley High School","Huddersfield","HD75SP",41.9,"715","721",-0.4,"HD75","KIRKLEES","WEST YORKSHIRE"
136283,"Heckmondwike Grammar School","Heckmondwike","WF160AH",78.5,"777","697",1,"WF16","KIRKLEES","WEST YORKSHIRE"
107769,"Holmfirth High School","Holmfirth","HD97SE",55.3,"670","672",0.72,"HD97","BARNSLEY","SOUTH YORKSHIRE"
146906,"Honley High School","Holmfirth","HD96QJ",51.3,"642","641",0.28,"HD96","KIRKLEES","WEST YORKSHIRE"
143227,"Joseph Norton Academy","Huddersfield","HD89JU",6.7,"60","0",-1.45,"HD89","KIRKLEES","WEST YORKSHIRE"
138706,"King James's School","Huddersfield","HD46SG",46.8,"542","512",0,"HD46","KIRKLEES","WEST YORKSHIRE"
139076,"Manor Croft Academy","Dewsbury","WF127DW",47.8,"531","507",0.25,"WF12","KIRKLEES","WEST YORKSHIRE"
136674,"The Mirfield Free Grammar","Mirfield","WF149EZ",45.2,"717","732",-0.4,"WF14","KIRKLEES","WEST YORKSHIRE"
137500,"Moor End Academy","Huddersfield","HD45JA",46.1,"525","529",0.45,"HD45","KIRKLEES","WEST YORKSHIRE"
107756,"Netherhall Learning Campus High School","Select","HD59PG",39.3,"420","435",-0.09,"HD59","KIRKLEES","WEST YORKSHIRE"
147888,"Newsome Academy","Huddersfield","HD46JN",41.6,"380","373",-0.19,"HD46","KIRKLEES","WEST YORKSHIRE"
136502,"North Huddersfield Trust School","Huddersfield","HD21DJ",35.3,"499","501",-0.35,"HD21","KIRKLEES","WEST YORKSHIRE"
146327,"Royds Hall,  A Share Academy","Huddersfield","HD34HA",42,"643","578",0,"HD34","KIRKLEES","WEST YORKSHIRE"
141470,"St John Fisher Catholic Voluntary Academy","Dewsbury","WF134LL",31.4,"506","452",-0.99,"WF13","KIRKLEES","WEST YORKSHIRE"
137869,"Salendine Nook High School Academy","Huddersfield","HD34GN",49.9,"707","706",0.21,"HD34","KIRKLEES","WEST YORKSHIRE"
137352,"Shelley College, A Share Academy","Huddersfield","HD88NL",52.1,"676","624",0.56,"HD88","BARNSLEY","SOUTH YORKSHIRE"
107801,"Southgate School","Huddersfield","HD58TG",0.6,"124","47",-1.59,"HD58","KIRKLEES","WEST YORKSHIRE"
107778,"Spen Valley High School","Liversedge","WF157LX",34.1,"508","461",-0.77,"WF15","KIRKLEES","WEST YORKSHIRE"
146365,"Thornhill Community Academy, A Share Academy","Dewsbury","WF120HE",45.5,"490","439",0.3,"WF12","KIRKLEES","WEST YORKSHIRE"
107775,"Westborough High School","Dewsbury","WF132JE",42.4,"526","401",0.17,"WF13","KIRKLEES","WEST YORKSHIRE"
149162,"Whitcliffe Mount, A Share Academy","Cleckheaton","BD193AQ",47,"643","589",0.13,"BD19","KIRKLEES","WEST YORKSHIRE"
137083,"Abbey Grange Church of England Academy","Leeds","LS165EA",58.7,"799","857",0.7,"LS16","LEEDS","WEST YORKSHIRE"
108058,"Allerton Grange School","Leeds","LS176SF",44.9,"903","838",-0.02,"LS17","LEEDS","WEST YORKSHIRE"
108057,"Allerton High School","Leeds","LS177AG",58.3,"829","813",0.89,"LS17","LEEDS","WEST YORKSHIRE"
108083,"Benton Park School","Leeds","LS196LX",46.8,"796","723",-0.15,"LS19","LEEDS","WEST YORKSHIRE"
144809,"Bishop Young Church of England Academy","Leeds","LS146NU",36.6,"395","377",-0.3,"LS14","LEEDS","WEST YORKSHIRE"
146217,"Boston Spa Academy","Wetherby","LS236RW",54.1,"725","704",0.56,"LS23","LEEDS","WEST YORKSHIRE"
