District,avg_bandwidth,avg_crime,avg_price,avg_2024,norm_bandwidth,norm_price,norm_rate,norm_pop,score,rating_score_scaled,rating_1_to_10,recommendation
BARNSLEY,40.95549525101764,23628,190455.10023803226,7135.547314679195,0.18989551633368293,1,0.9568910215288291,0.9694198973405374,0.7409779510928074,10,10,Highly recommended
ROTHERHAM,43.91066310420209,23416,215697.7249792071,7322.705880749251,0.40367470366404945,0.7602449398862519,0.9596109927895101,0.9538636901377163,0.732445559915715,9.818545981391598,10,Highly recommended
BRADFORD,51.023698069046226,68167,217866.08522160468,15547.273539116053,0.9182372969862068,0.7396498018768398,0.3854532857766031,0.2702557670075324,0.6400276920926481,7.853142244073694,8,Recommended
CALDERDALE,38.330482347091,20268,216396.18405511812,6767.634488024234,0,0.7536109586957425,1,1,0.6260832876087227,7.556593694178031,8,Recommended
DONCASTER,39.23004830917874,32038,199111.69125866308,14273.014852513534,0.06507531547419472,0.9177794891849714,0.8489902748197378,0.37616933845135003,0.5871704576888062,6.729054354051304,7,Recommended
KIRKLEES,47.68812429057889,40284,241389.4054490052,13773.704946172413,0.6769392431809633,0.5162247376046658,0.7431936568217392,0.4176708765565105,0.6226743789378616,7.484098169235684,7,Recommended
WAKEFIELD,38.33546221380616,36429,229664.47948822097,10463.370365906198,3.6024750953939365e-4,0.6275883678681894,0.792653511585538,0.6928185853822395,0.49546249662720393,4.778747842356493,5,Not recommended
LEEDS,52.153941450327466,98210,289501.32822197885,18798.752589621403,1,0.05925653184566959,0,0,0.3177769595537009,1,1,Not recommended
SHEFFIELD,41.567214812896545,54730,295740.15544895816,8803.12461184274,0.234147794819875,0,0.5578507095019374,0.8308145505156093,0.32068100634810465,1.061758884483187,1,Not recommended
